Code APE,Secteur,Catégorie,Nom Subvention,Montant,Difficulté,Délai,Source Principale,Alternative 1,Montant Alt 1,Source Alt 1,Alternative 2,Montant Alt 2,Source Alt 2
70.21Z,Direction Administration,Innovation et R&D,JEI Exonération sociale,181388,Moyenne,3 mois,Service Public,Innov'Up Program,250000,BPI France,Territoires d'Innovation,1000000,Banque des Territoires
70.21Z,Direction Administration,Innovation et R&D,JEI Exonération fiscale,53419,Moyenne,3 mois,Service Public,Innov'Up Program,250000,BPI France,Territoires d'Innovation,1000000,Banque des Territoires
70.21Z,Direction Administration,Innovation et R&D,JEI CFE/CVAE,12000,Facile,2 mois,Service Public,Innov'Up Program,250000,BPI France,Territoires d'Innovation,1000000,Banque des Territoires
70.21Z,Direction Administration,Innovation et R&D,CIR,79500,Difficile,12 mois,Économie.gouv,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
70.21Z,Direction Administration,Innovation et R&D,CII,82072,Difficile,12 mois,Économie.gouv,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
70.21Z,Direction Administration,Développement,Aide R&D TPE Innovation,40000,Moyenne,4 mois,BPI France,Local Investment Support,1000000,DSIL,Financement Aménagement,500000,Banque des Territoires
70.21Z,Direction Administration,Innovation et R&D,Pass PI INPI,5000,Facile,1 mois,INPI,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
70.21Z,Direction Administration,Formation,FNE Formation,24500,Facile,2 mois,FNE,Professionalization Contracts,5000,Ministère Travail,Financement Formation,100000,Banque des Territoires
70.21Z,Direction Administration,Innovation,Aide Conseil Innovation,10000,Facile,2 mois,BPI France,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
70.22Z,Direction Administration,Développement,Aide R&D TPE Process,40000,Moyenne,4 mois,BPI France,Local Investment Support,1000000,DSIL,Financement Aménagement,500000,Banque des Territoires
70.22Z,Direction Administration,Innovation,Diagnostic Innovation BPI,8000,Facile,2 mois,BPI France,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
70.22Z,Direction Administration,International,Aide Développement International,35000,Moyenne,3 mois,BPI France,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
70.22Z,Direction Administration,Formation,OPCO Formation,15000,Facile,1 mois,OPCO,Professionalization Contracts,5000,Ministère Travail,Financement Formation,100000,Banque des Territoires
70.22Z,Direction Administration,Européen,Programme LEADER UE,45000,Très Difficile,12 mois,UE,Horizon Europe,1000000,UE,Financement Environnement,500000,Banque des Territoires
62.01Z,Multimédia,Numérique,Transformation Numérique Équipements,50000,Facile,2 mois,Région,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
62.01Z,Multimédia,Numérique,Transformation Numérique Logiciels,20000,Facile,2 mois,Région,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
62.01Z,Multimédia,Numérique,Transformation Numérique Formation,10000,Facile,1 mois,Région,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
62.01Z,Multimédia,Innovation,Aide au Développement d'Applications Mobiles,100000,Moyenne,4 mois,BPI France,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
62.01Z,Multimédia,Numérique,FEDER Numérique,60000,Très Difficile,9 mois,Europe,Horizon Europe,1000000,UE,Financement Infrastructures Numériques,500000,Banque des Territoires
62.01Z,Multimédia,Innovation,Subvention i-Lab,600000,Très Difficile,9 mois,BPI France,EIC Accelerator,1500000,UE,Financement Services Numériques,300000,Banque des Territoires
62.01Z,Multimédia,Numérique,Aide à la Transition Numérique TPE/PME,50000,Facile,2 mois,BPI France,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Création,Aide à la Création de Jeux Vidéo,200000,Difficile,6 mois,CNC,Innov'Up Program,250000,BPI France,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Audiovisuel,Fonds de Soutien à l'Innovation Audiovisuelle,50000,Difficile,6 mois,CNC,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Équipement,Subvention Équipement Studio,50000,Moyenne,3 mois,CNC,Local Investment Support,1000000,DSIL,Financement Aménagement,500000,Banque des Territoires
59.11B,Divertissement,Production,Crédit d'Impôt Production Phonographique,100000,Difficile,12 mois,CNC,ANR Grants,500000,ANR,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Technique,Fonds Industries Techniques Cinéma,100000,Difficile,6 mois,CNC,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Numérique,Aide Création Contenus Numériques,90000,Moyenne,4 mois,CNC,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
59.11B,Divertissement,Culture,Fonds Projets Culturels Numériques,70000,Moyenne,4 mois,Ministère Culture,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
82.30Z,Tourisme,Financement,Prêt Tourisme BPI,100000,Moyenne,4 mois,BPI France,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
82.30Z,Tourisme,Culture,Fonds de Soutien aux Festivals Culturels,30000,Moyenne,3 mois,Ministère Culture,Regional Development Grants,250000,Région,Financement Services Numériques,300000,Banque des Territoires
82.30Z,Tourisme,Formation,OPCO Formation,15000,Facile,1 mois,OPCO,Professionalization Contracts,5000,Ministère Travail,Financement Formation,100000,Banque des Territoires
82.30Z,Tourisme,Apprentissage,Aide Unique Apprentissage,30000,Facile,1 mois,ASP,Employment Initiative,10000,Pôle Emploi,Financement Économie Inclusive,100000,Banque des Territoires
82.30Z,Tourisme,Apprentissage,Aide Exceptionnelle Apprentissage,10000,Facile,1 mois,ASP,Employment Initiative,10000,Pôle Emploi,Financement Économie Inclusive,100000,Banque des Territoires
82.30Z,Tourisme,Innovation,FEDER Innovation,80000,Très Difficile,9 mois,Europe,Horizon Europe,1000000,UE,Financement Environnement,500000,Banque des Territoires
82.30Z,Tourisme,Développement,Aide Investissement TPE,80000,Moyenne,3 mois,BPI France,Regional Development Grants,250000,Région,Financement Aménagement,500000,Banque des Territoires
